date_time,result,view,curved_MEAS,record_path
2022/09/21T10:15:47,init,Cam1,0mm,record\20220921\record_logs.csv
2022/09/21T10:19:54,init,Cam1,0mm,record\20220921\record_logs.csv
2022/09/21T10:19:59,init,Cam2,6.32mm,record\20220921\record_logs.csv
2022/09/21T10:20:02,init,Cam1,0mm,record\20220921\record_logs.csv
2022/09/21T10:20:05,NG,Cam2,6.27mm,record\20220921\record_logs.csv
2022/09/21T10:20:14,init,Cam1,0mm,record\20220921\record_logs.csv
2022/09/21T10:20:14,NG,Cam2,6.27mm,record\20220921\record_logs.csv
2022/09/21T10:20:20,init,Cam1,0mm,record\20220921\record_logs.csv
2022/09/21T10:20:34,init,Cam1,2.97mm,record\20220921\record_logs.csv
2022/09/21T10:20:36,init,Cam2,7.17mm,record\20220921\record_logs.csv
2022/09/21T10:24:19,NG,Cam2,6.32mm,record\20220921\record_logs.csv
2022/09/21T10:24:25,NG,Cam2,6.27mm,record\20220921\record_logs.csv
2022/09/21T10:24:35,init,Cam2,6.27mm,record\20220921\record_logs.csv
2022/09/21T10:26:38,init,Cam2,6.32mm,record\20220921\record_logs.csv
2022/09/21T10:26:44,init,Cam2,6.27mm,record\20220921\record_logs.csv
